Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Pupils_Finish_Leaving_Cert,Num_Practising_Religion,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Northern,Homicide offences,2007,1,5,483900,69252,40180,558.45,4.9,20.4,0.6802,1.3242,241.7,290.5,21.7,8.4,19,83.8,,16776,3401,Fianna F‡il,1605,13.2,84
Northern,Homicide offences,2007,2,3,483900,69030,40180,561.2,4.9,20.4,0.6756,1.3419,642.3,217.7,21.7,8.4,19,83.8,,16776,5558,Fianna F‡il,1605,13.2,84
Northern,Homicide offences,2007,3,3,483900,73046,40180,556.81,4.9,20.4,0.6889,1.3896,439.1,271.1,21.7,8.4,19,83.8,,16776,8949,Fianna F‡il,1605,13.2,84
Northern,Homicide offences,2007,4,3,483900,70325,40180,568.73,4.9,20.4,0.7206,1.457,144.3,288.5,21.7,8.4,19,83.8,,16776,4848,Fianna F‡il,1605,13.2,84
Northern,Homicide offences,2008,1,3,496500,82216,41512,573.34,4.1,9.6,0.7749,1.5527,220.5,421.2,16.5,4.8,22,85.6,,17799,3228,Fianna F‡il,1439,12.2,84.3
Northern,Homicide offences,2008,2,3,496500,89612,41512,576.92,4.1,9.6,0.7915,1.5553,639.4,136.4,16.5,4.8,22,85.6,,17799,5351,Fianna F‡il,1439,12.2,84.3
Northern,Homicide offences,2008,3,1,496500,105227,41512,567.27,4.1,9.6,0.7992,1.437,345.8,338.9,16.5,4.8,22,85.6,,17799,8751,Fianna F‡il,1439,12.2,84.3
Northern,Homicide offences,2008,4,3,496500,117909,41512,564.74,4.1,9.6,0.9045,1.3449,166.8,346.1,16.5,4.8,22,85.6,,17799,4857,Fianna F‡il,1439,12.2,84.3
Northern,Homicide offences,2009,1,1,508200,151440,38247,555.15,-4.5,-22,0.9197,1.305,223.5,226.8,14.1,5.4,27,,,17579,3450,Fianna F‡il,1360,11,83.1
Northern,Homicide offences,2009,2,3,508200,168537,38247,543.46,-4.5,-22,0.8567,1.4016,660.5,239.2,14.1,5.4,27,,,17579,5432,Fianna F‡il,1360,11,83.1
Northern,Homicide offences,2009,3,1,508200,180784,38247,534.37,-4.5,-22,0.8914,1.4562,445.9,307.5,14.1,5.4,27,,,17579,8047,Fianna F‡il,1360,11,83.1
Northern,Homicide offences,2009,4,2,508200,175043,38247,531.63,-4.5,-22,0.8997,1.4614,174.8,393.2,14.1,5.4,27,,,17579,4698,Fianna F‡il,1360,11,83.1
Northern,Homicide offences,2010,1,5,511500,183377,38538,524.4,-1,1.3,0.9016,1.3569,277.4,238.7,13.7,7.4,33,,,16544,3372,Fianna F‡il,1226,11.6,82.8
Northern,Homicide offences,2010,2,3,511500,186545,38538,516.53,-1,1.3,0.8277,1.2209,572.5,147.5,13.7,7.4,33,,,16544,4993,Fianna F‡il,1226,11.6,82.8
Northern,Homicide offences,2010,3,2,511500,194227,38538,510.16,-1,1.3,0.8399,1.3067,400.1,339.6,13.7,7.4,33,,,16544,7774,Fianna F‡il,1226,11.6,82.8
Northern,Homicide offences,2010,4,4,511500,182548,38538,500.73,-1,1.3,0.8481,1.322,213.4,254.4,13.7,7.4,33,,,16544,4455,Fianna F‡il,1226,11.6,82.8
Northern,Homicide offences,2011,1,2,515500,187478,34091,489.3,2.6,9.7,0.8665,1.3999,273.8,252.7,19.8,9.7,40,,294803,16843,3047,Fine Gael,1241,11.7,83.2
Northern,Homicide offences,2011,2,3,515500,189655,34091,482.37,2.6,9.7,0.8875,1.4388,553.6,251.1,19.8,9.7,40,,294803,16843,5015,Fine Gael,1241,11.7,83.2
Northern,Homicide offences,2011,3,0,515500,195648,34091,478.97,2.6,9.7,0.8717,1.377,365.9,261.9,19.8,9.7,40,,294803,16843,7532,Fine Gael,1241,11.7,83.2
Northern,Homicide offences,2011,4,2,515500,182981,34091,472.85,2.6,9.7,0.8441,1.3179,153.4,465.6,19.8,9.7,40,,294803,16843,4261,Fine Gael,1241,11.7,83.2
